Target,Sample,Cq,Average Ct,StDev Ct,dCt,ddCt,2-(expddCt) v Ppia
ACTA2,CC_DMSO,26.56,26.54,0.03,-0.2588,0.3273,0.797
ACTA2,CC_DMSO,26.52,,,,,
ACTA2,CC_Alda1,26.53,26.52,0.01,-0.0846,0.5015,0.7064
ACTA2,CC_Alda1,26.51,,,,,
ACTA2,FC_DMSO,25.34,25.3,0.05,-1.7784,-1.1924,2.2853
ACTA2,FC_DMSO,25.26,,,,,
ACTA2,FC_Alda1,25.71,25.67,0.05,-0.9357,-0.3496,1.2742
ACTA2,FC_Alda1,25.63,,,,,
ACTA2,CALIB_NA,25.54,25.47,0.1,-0.5861,,
ACTA2,CALIB_NA,25.4,,,,,
ACTA2,NTC_NA,,,,,,
ACTA2,NTC_NA,,,,,,
COL1A1,CC_DMSO,25.69,25.8,0.15,-1.0005,3.7217,0.0758
COL1A1,CC_DMSO,25.91,,,,,
COL1A1,CC_Alda1,26.12,26.1,0.03,-0.5038,4.2184,0.0537
COL1A1,CC_Alda1,26.08,,,,,
COL1A1,FC_DMSO,22.26,22.27,0.02,-4.8074,-0.0852,1.0608
COL1A1,FC_DMSO,22.29,,,,,
COL1A1,FC_Alda1,22.6,22.61,0,-3.9985,0.7237,0.6056
COL1A1,FC_Alda1,22.61,,,,,
COL1A1,CALIB_NA,21.38,21.33,0.07,-4.7222,,
COL1A1,CALIB_NA,21.28,,,,,
COL1A1,NTC_NA,38.26,,,,,
COL1A1,NTC_NA,35.55,,,,,
CTGF,CC_DMSO,27.44,27.5,0.1,0.704,1.1507,0.4504
CTGF,CC_DMSO,27.57,,,,,
CTGF,CC_Alda1,27.34,27.32,0.04,0.7104,1.1571,0.4484
CTGF,CC_Alda1,27.29,,,,,
CTGF,FC_DMSO,25.43,25.47,0.05,-1.6115,-1.1647,2.2419
CTGF,FC_DMSO,25.5,,,,,
CTGF,FC_Alda1,25.36,25.36,0,-1.2419,-0.7951,1.7352
CTGF,FC_Alda1,25.37,,,,,
CTGF,CALIB_NA,25.66,25.61,0.08,-0.4468,,
CTGF,CALIB_NA,25.55,,,,,
CTGF,NTC_NA,,,,,,
CTGF,NTC_NA,,,,,,
FN,CC_DMSO,23.77,23.81,0.05,-2.9946,2.162,0.2234
FN,CC_DMSO,23.84,,,,,
FN,CC_Alda1,23.98,23.93,0.06,-2.6736,2.483,0.1789
FN,CC_Alda1,23.89,,,,,
FN,FC_DMSO,21,21.08,0.1,-6.0022,-0.8455,1.7969
FN,FC_DMSO,21.15,,,,,
FN,FC_Alda1,20.88,20.95,0.11,-5.6515,-0.4949,1.4092
FN,FC_Alda1,21.03,,,,,
FN,CALIB_NA,20.87,20.9,0.04,-5.1567,,
FN,CALIB_NA,20.93,,,,,
FN,NTC_NA,,,,,,
FN,NTC_NA,,,,,,
SERPINE1,CC_DMSO,27.34,27.35,0.02,0.5533,2.0562,0.2405
SERPINE1,CC_DMSO,27.37,,,,,
SERPINE1,CC_Alda1,27.72,27.63,0.12,1.0282,2.5311,0.173
SERPINE1,CC_Alda1,27.55,,,,,
SERPINE1,FC_DMSO,24.43,24.33,0.14,-2.7508,-1.2479,2.375
SERPINE1,FC_DMSO,24.23,,,,,
SERPINE1,FC_Alda1,24.17,24.17,0.01,-2.4332,-0.9304,1.9058
SERPINE1,FC_Alda1,24.17,,,,,
SERPINE1,CALIB_NA,24.5,24.55,0.07,-1.5029,,
SERPINE1,CALIB_NA,24.6,,,,,
SERPINE1,NTC_NA,,,,,,
SERPINE1,NTC_NA,,,,,,
PPIA,CC_DMSO,26.75,26.8,0.08,26.7722,0.2148,
PPIA,CC_DMSO,26.86,,,,,
PPIA,CC_Alda1,26.68,26.6,0.11,,,
PPIA,CC_Alda1,26.53,,,,,
PPIA,FC_DMSO,27.05,27.08,0.05,,,
PPIA,FC_DMSO,27.11,,,,,
PPIA,FC_Alda1,26.62,26.6,0.02,,,
PPIA,FC_Alda1,26.59,,,,,
PPIA,CALIB_NA,26.1,26.05,0.07,,,
PPIA,CALIB_NA,26,,,,,
PPIA,NTC_NA,,,,,,
PPIA,NTC_NA,,,,,,
bGUS,CC_DMSO,29.03,,,,,
bGUS,CC_DMSO,29.28,,,,,
bGUS,CC_Alda1,29.36,,,,,
bGUS,CC_Alda1,29.5,,,,,
bGUS,FC_DMSO,29.98,,,,,
bGUS,FC_DMSO,29.97,,,,,
bGUS,FC_Alda1,30.07,,,,,
bGUS,FC_Alda1,29.97,,,,,
bGUS,CALIB_NA,27.3,,,,,
bGUS,CALIB_NA,27.22,,,,,
bGUS,NTC_NA,,,,,,
bGUS,NTC_NA,,,,,,
