Target,Sample,Cq,Average Ct,StDev Ct,dCt,ddCt,2-(expddCt) v PPIA
ACTA2,CC_DMSO,28.2,28.17,0.04,1.8122,1.9777,0.2539
ACTA2,CC_DMSO,28.14,,,,,
ACTA2,CC_Alda1,29.74,29.72,0.03,3.5136,3.6791,0.0781
ACTA2,CC_Alda1,29.7,,,,,
ACTA2,FC_DMSO,28.42,28.47,0.08,2.1704,2.3359,0.1981
ACTA2,FC_DMSO,28.53,,,,,
ACTA2,FC_Alda1,30.69,30.59,0.13,3.6171,3.7825,0.0727
ACTA2,FC_Alda1,30.5,,,,,
ACTA2,CALIB_NA,25.79,25.86,0.1,-0.1655,,
ACTA2,CALIB_NA,25.93,,,,,
ACTA2,NTC_NA,,,,,,
ACTA2,NTC_NA,,,,,,
COL1A1,CC_DMSO,27.17,27.2,0.03,0.8413,5.4912,0.0222
COL1A1,CC_DMSO,27.22,,,,,
COL1A1,CC_Alda1,29.16,29.16,0,2.9532,7.6031,0.0051
COL1A1,CC_Alda1,29.16,,,,,
COL1A1,FC_DMSO,25.15,25.18,0.04,-1.1229,3.527,0.0867
COL1A1,FC_DMSO,25.2,,,,,
COL1A1,FC_Alda1,28.74,28.79,0.07,1.8121,6.462,0.0113
COL1A1,FC_Alda1,28.84,,,,,
COL1A1,CALIB_NA,21.38,21.38,0,-4.6499,,
COL1A1,CALIB_NA,21.38,,,,,
COL1A1,NTC_NA,,,,,,
COL1A1,NTC_NA,,,,,,
CYR61,CC_DMSO,25.94,25.99,0.06,-0.3685,0.9865,0.5047
CYR61,CC_DMSO,26.03,,,,,
CYR61,CC_Alda1,28.53,28.51,0.03,2.3013,3.6562,0.0793
CYR61,CC_Alda1,28.48,,,,,
CYR61,FC_DMSO,28.09,28.04,0.06,1.7449,3.0999,0.1166
CYR61,FC_DMSO,28,,,,,
CYR61,FC_Alda1,29.22,29.19,0.04,2.2112,3.5662,0.0844
CYR61,FC_Alda1,29.16,,,,,
CYR61,CALIB_NA,24.68,24.67,0.01,-1.355,,
CYR61,CALIB_NA,24.66,,,,,
CYR61,NTC_NA,,,,,,
CYR61,NTC_NA,,,,,,
FN,CC_DMSO,23.5,23.6,0.15,-2.7539,2.3759,0.1927
FN,CC_DMSO,23.71,,,,,
FN,CC_Alda1,25.63,25.62,0.02,-0.5812,4.5487,0.0427
FN,CC_Alda1,25.61,,,,,
FN,FC_DMSO,23.22,23.18,0.06,-3.1186,2.0112,0.2481
FN,FC_DMSO,23.14,,,,,
FN,FC_Alda1,25.35,25.38,0.04,-1.5973,3.5325,0.0864
FN,FC_Alda1,25.41,,,,,
FN,CALIB_NA,20.89,20.9,0.01,-5.1298,,
FN,CALIB_NA,20.9,,,,,
FN,NTC_NA,,,,,,
FN,NTC_NA,,,,,,
SERPINE1,CC_DMSO,27.89,27.9,0.02,1.5421,3.2841,0.1027
SERPINE1,CC_DMSO,27.91,,,,,
SERPINE1,CC_Alda1,30.27,30.17,0.14,3.9646,5.7066,0.0191
SERPINE1,CC_Alda1,30.07,,,,,
SERPINE1,FC_DMSO,26.55,26.59,0.05,0.2872,2.0292,0.245
SERPINE1,FC_DMSO,26.62,,,,,
SERPINE1,FC_Alda1,28.64,28.58,0.08,1.6082,3.3502,0.0981
SERPINE1,FC_Alda1,28.53,,,,,
SERPINE1,CALIB_NA,24.3,24.28,0.02,-1.742,,
SERPINE1,CALIB_NA,24.27,,,,,
SERPINE1,NTC_NA,,,,,,
SERPINE1,NTC_NA,,,,,,
PPIA,CC_DMSO,26.34,26.36,0.03,26.4594,0.3271,
PPIA,CC_DMSO,26.38,,,,,
PPIA,CC_Alda1,26.19,26.2,0.02,,,
PPIA,CC_Alda1,26.22,,,,,
PPIA,FC_DMSO,26.25,26.3,0.07,,,
PPIA,FC_DMSO,26.35,,,,,
PPIA,FC_Alda1,26.91,26.98,0.09,,,
PPIA,FC_Alda1,27.04,,,,,
PPIA,CALIB_NA,26.04,26.03,0.02,,,
PPIA,CALIB_NA,26.01,,,,,
PPIA,NTC_NA,,,,,,
PPIA,NTC_NA,,,,,,
bGUS,CC_DMSO,30.09,,,,,
bGUS,CC_DMSO,30.26,,,,,
bGUS,CC_Alda1,32.29,,,,,
bGUS,CC_Alda1,32.41,,,,,
bGUS,FC_DMSO,32.19,,,,,
bGUS,FC_DMSO,31.96,,,,,
bGUS,FC_Alda1,33.1,,,,,
bGUS,FC_Alda1,33.21,,,,,
bGUS,CALIB_NA,26.88,,,,,
bGUS,CALIB_NA,27,,,,,
bGUS,NTC_NA,,,,,,
bGUS,NTC_NA,,,,,,
